,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
44,3,4.0,4,9,18424.0,4,4,1.0,3,1,1.0,0,75.0,0,0,4.0,0,1.0,0,1,1
45,3,72.0,4,1,250.0,4,0,1.0,3,1,4.0,3,75.0,0,2,4.0,3,1.0,0,1,1
46,0,72.0,4,2,18424.0,0,0,1.0,3,2,1.0,0,19.0,0,0,1.0,0,1.0,0,1,1
47,0,72.0,4,9,18424.0,0,4,1.0,3,2,1.0,0,75.0,0,0,1.0,0,1.0,1,1,0
48,3,4.0,0,1,250.0,0,0,4.0,1,2,1.0,2,19.0,0,1,1.0,3,1.0,0,1,1
49,3,4.0,3,5,18424.0,1,4,1.0,3,1,1.0,2,19.0,0,0,1.0,0,1.0,0,1,1
50,0,4.0,4,0,250.0,1,0,1.0,0,2,4.0,3,19.0,2,1,1.0,3,1.0,0,0,0
51,0,4.0,4,0,250.0,0,0,4.0,0,2,4.0,0,19.0,2,2,1.0,3,1.0,0,1,0
52,3,4.0,3,0,250.0,0,0,1.0,0,2,4.0,3,75.0,1,1,1.0,3,1.0,0,0,0
53,3,72.0,3,0,18424.0,0,4,1.0,3,2,4.0,3,75.0,1,2,1.0,2,1.0,1,0,0
54,0,4.0,1,2,250.0,0,0,4.0,0,2,4.0,0,19.0,2,0,1.0,3,1.0,0,1,1
55,3,4.0,2,0,250.0,0,0,1.0,0,2,4.0,3,75.0,1,2,1.0,3,1.0,0,1,1
56,3,4.0,1,0,250.0,0,0,1.0,0,2,4.0,3,19.0,1,2,1.0,3,1.0,0,1,1
57,3,4.0,0,6,250.0,4,0,4.0,3,1,1.0,3,19.0,0,2,1.0,3,1.0,0,1,1
58,1,4.0,4,9,250.0,2,2,4.0,3,1,4.0,0,19.0,1,2,1.0,0,1.0,1,1,1
59,0,4.0,4,4,250.0,0,0,1.0,3,1,1.0,0,19.0,1,2,4.0,2,1.0,0,1,1
60,0,4.0,3,9,250.0,1,4,1.0,3,2,1.0,3,75.0,1,0,1.0,0,1.0,1,1,1
61,3,4.0,0,2,250.0,4,1,4.0,3,1,4.0,3,19.0,1,2,4.0,3,1.0,0,1,0
62,1,4.0,4,8,250.0,4,4,1.0,0,2,1.0,0,19.0,0,0,1.0,0,1.0,1,1,1
63,0,72.0,4,0,250.0,0,0,1.0,0,2,1.0,0,19.0,1,1,1.0,2,1.0,1,1,0
64,3,72.0,2,0,18424.0,0,0,1.0,0,2,1.0,3,19.0,0,2,1.0,3,1.0,0,0,0
65,3,4.0,4,2,18424.0,4,2,1.0,1,2,1.0,0,19.0,1,2,1.0,0,1.0,0,0,0
66,0,4.0,0,2,250.0,4,0,1.0,1,2,1.0,0,19.0,1,2,1.0,0,1.0,0,1,1
67,0,4.0,4,5,250.0,0,4,1.0,1,2,4.0,0,19.0,2,0,1.0,0,1.0,0,1,0
68,3,4.0,2,8,250.0,0,4,4.0,3,2,1.0,3,75.0,2,0,1.0,1,1.0,1,1,1
69,0,72.0,4,1,250.0,0,0,4.0,0,2,1.0,0,19.0,0,2,1.0,0,1.0,0,0,0
70,1,4.0,0,9,250.0,4,0,4.0,3,1,1.0,0,19.0,1,2,4.0,0,1.0,1,1,1
71,3,4.0,0,0,18424.0,3,3,4.0,3,2,1.0,3,19.0,0,0,1.0,2,1.0,0,0,0
72,0,72.0,3,6,250.0,2,4,4.0,3,2,4.0,0,75.0,0,0,1.0,0,1.0,1,0,0
73,0,4.0,4,6,250.0,1,0,1.0,0,2,4.0,1,19.0,2,2,1.0,2,1.0,0,1,1
74,2,4.0,4,9,250.0,4,4,1.0,3,2,4.0,0,75.0,1,2,1.0,0,1.0,0,0,1
75,0,4.0,3,9,250.0,4,4,4.0,3,2,4.0,0,19.0,2,0,1.0,0,1.0,1,1,1
76,0,72.0,4,6,18424.0,4,2,1.0,3,1,1.0,2,75.0,0,1,1.0,0,1.0,1,1,1
77,0,4.0,4,9,250.0,0,4,1.0,0,2,4.0,0,75.0,1,0,1.0,0,1.0,1,1,0
78,3,4.0,2,0,250.0,4,0,1.0,3,2,1.0,3,19.0,2,2,4.0,3,1.0,0,1,1
79,3,4.0,0,4,250.0,4,2,4.0,3,1,4.0,3,75.0,1,2,1.0,3,1.0,0,1,0
80,0,4.0,4,9,250.0,0,4,4.0,0,2,4.0,0,19.0,1,0,1.0,0,1.0,1,1,1
81,0,72.0,3,5,250.0,1,0,1.0,0,2,4.0,0,19.0,1,2,1.0,0,1.0,0,0,1
82,0,4.0,0,0,250.0,1,0,4.0,1,2,1.0,3,19.0,2,1,1.0,3,1.0,0,1,1
83,3,4.0,3,1,18424.0,3,4,1.0,3,1,4.0,3,75.0,1,0,4.0,0,1.0,1,0,1
84,3,72.0,0,2,18424.0,3,3,4.0,3,2,1.0,0,19.0,0,0,1.0,1,1.0,1,0,0
85,3,4.0,4,6,250.0,4,4,1.0,0,2,4.0,0,19.0,0,1,1.0,0,1.0,0,1,1
86,3,4.0,4,9,18424.0,3,4,1.0,3,2,4.0,0,75.0,1,0,1.0,0,1.0,1,1,1
87,3,4.0,1,1,250.0,1,0,4.0,2,2,1.0,2,75.0,1,0,1.0,3,1.0,1,1,1
88,0,72.0,4,3,250.0,2,4,1.0,0,2,1.0,0,75.0,0,0,1.0,0,1.0,1,1,0
89,3,4.0,4,3,250.0,3,4,1.0,3,2,4.0,3,75.0,2,1,1.0,1,1.0,0,1,1
90,0,4.0,4,0,250.0,1,0,1.0,0,2,4.0,3,19.0,0,2,1.0,2,1.0,0,1,1
91,3,72.0,1,0,250.0,0,0,4.0,1,2,1.0,3,19.0,1,1,1.0,3,1.0,0,1,0
92,0,72.0,4,1,18424.0,2,4,1.0,3,2,1.0,1,75.0,0,0,1.0,0,1.0,1,1,0
93,0,72.0,1,5,18424.0,0,0,1.0,3,1,1.0,0,75.0,0,0,1.0,1,1.0,0,1,1
94,3,72.0,1,0,250.0,0,0,4.0,0,2,4.0,0,19.0,1,2,1.0,3,1.0,0,0,0
95,3,72.0,0,1,18424.0,2,1,4.0,3,1,1.0,3,19.0,0,0,1.0,2,1.0,1,1,0
96,3,72.0,1,0,250.0,3,0,4.0,0,2,4.0,3,19.0,1,2,1.0,3,1.0,0,1,0
97,0,4.0,3,0,250.0,4,0,1.0,3,2,1.0,3,75.0,1,2,1.0,3,1.0,0,0,0
98,0,72.0,3,9,18424.0,1,4,4.0,3,2,1.0,0,19.0,0,0,1.0,0,1.0,1,0,1
99,2,4.0,4,5,250.0,3,4,1.0,0,2,1.0,0,19.0,0,0,1.0,0,1.0,1,1,0
100,3,4.0,4,0,250.0,0,0,1.0,0,2,4.0,3,19.0,1,2,1.0,2,1.0,0,0,0
101,0,72.0,4,9,18424.0,3,4,1.0,1,2,4.0,0,19.0,0,0,1.0,0,1.0,1,1,1
102,0,4.0,1,0,250.0,0,0,1.0,0,2,1.0,0,19.0,0,2,1.0,3,1.0,0,0,0
103,0,72.0,4,0,250.0,2,4,4.0,0,2,4.0,0,19.0,1,0,1.0,0,1.0,1,1,0
104,0,4.0,4,0,250.0,2,0,1.0,0,2,1.0,0,19.0,0,2,1.0,0,1.0,0,1,1
105,0,4.0,3,8,250.0,4,0,1.0,0,1,1.0,0,19.0,0,2,4.0,0,1.0,0,1,1
106,3,4.0,4,9,250.0,0,3,4.0,3,2,4.0,0,75.0,2,0,1.0,0,1.0,1,1,1
107,0,4.0,3,9,250.0,3,3,4.0,3,2,1.0,1,75.0,2,1,1.0,0,1.0,1,1,1
108,3,4.0,3,9,18424.0,4,4,4.0,3,1,4.0,3,75.0,0,2,1.0,0,1.0,1,1,1
109,3,4.0,0,9,18424.0,2,4,4.0,3,1,1.0,0,19.0,0,0,4.0,0,1.0,0,1,1
110,3,72.0,4,2,250.0,4,3,1.0,0,2,4.0,0,19.0,0,1,1.0,0,1.0,0,1,1
111,3,4.0,4,3,250.0,0,1,1.0,3,2,1.0,3,75.0,2,1,1.0,3,1.0,1,1,1
112,3,72.0,4,3,250.0,4,0,1.0,3,2,1.0,3,75.0,0,2,4.0,3,1.0,0,1,1
113,3,4.0,2,0,250.0,0,0,1.0,0,2,1.0,3,19.0,2,1,1.0,3,1.0,0,0,0
114,0,4.0,0,8,250.0,1,1,4.0,3,2,1.0,0,19.0,2,0,1.0,0,1.0,1,1,1
115,3,72.0,1,3,18424.0,1,4,4.0,3,2,1.0,0,75.0,0,0,1.0,0,1.0,1,0,0
116,0,72.0,2,8,18424.0,4,1,1.0,3,1,1.0,0,19.0,0,0,3.898833155632019,0,1.0,1,1,1
117,0,4.0,4,8,18424.0,2,4,1.0,3,2,1.0,0,75.0,1,0,1.0,0,1.0,1,1,1
118,0,4.0,4,4,250.0,4,0,1.0,3,2,1.0,0,19.0,1,0,4.0,2,1.0,0,1,1
119,3,4.0,0,2,250.0,4,2,4.0,3,2,4.0,3,19.0,2,2,1.0,3,1.0,1,1,1
120,0,4.0,1,9,250.0,3,4,4.0,3,2,1.0,1,75.0,1,0,1.0,0,1.0,1,1,1
121,3,4.0,4,4,250.0,0,0,1.0,0,2,4.0,2,75.0,2,0,1.0,1,1.0,0,1,1
122,3,4.0,0,0,250.0,0,0,4.0,3,2,1.0,3,19.0,1,1,4.0,3,1.0,0,0,0
123,3,72.0,4,0,250.0,0,0,1.0,0,2,1.0,3,19.0,0,2,1.0,0,1.0,0,1,0
124,1,72.0,4,9,250.0,0,2,4.0,3,2,1.0,0,19.0,2,0,1.0,0,1.0,0,1,0
125,2,4.0,4,0,250.0,0,0,1.0,0,2,4.0,3,19.0,1,2,1.0,3,1.0,1,0,0
126,0,4.0,1,0,250.0,2,0,4.0,0,2,1.0,2,19.0,1,2,4.0,3,1.0,0,0,0
127,2,72.0,4,0,250.0,4,0,1.0,0,2,4.0,0,19.0,0,2,1.0,1,1.0,0,1,0
128,0,72.0,4,9,250.0,2,4,4.0,3,2,1.0,0,19.0,1,0,4.0,0,1.0,0,1,1
129,0,4.0,1,9,250.0,4,0,4.0,3,2,1.0,0,19.0,0,0,4.0,0,1.0,0,1,1
130,0,4.0,1,9,18424.0,0,3,4.0,3,2,1.0,0,19.0,0,0,1.0,0,1.0,0,0,1
131,0,72.0,1,1,250.0,2,0,4.0,3,1,1.0,1,19.0,2,0,4.0,3,1.0,0,1,1
132,0,72.0,4,0,250.0,1,0,1.0,0,2,4.0,0,19.0,1,2,1.0,0,1.0,0,0,0
133,3,4.0,1,5,250.0,0,1,1.0,0,2,4.0,3,75.0,1,2,1.0,3,1.0,1,1,1
134,0,4.0,1,0,250.0,0,0,4.0,0,2,1.0,0,19.0,2,0,1.0,0,1.0,0,1,0
135,0,72.0,3,3,18424.0,4,1,1.0,0,2,1.0,0,19.0,0,2,4.0,0,1.0,0,1,0
136,0,4.0,2,9,250.0,2,2,4.0,2,2,1.0,0,19.0,1,0,1.0,0,1.0,1,1,1
137,0,72.0,3,2,18424.0,1,0,1.0,3,2,1.0,0,39.07038593292236,0,0,1.0,2,1.0,1,1,0
138,0,4.0,0,0,250.0,1,0,4.0,3,2,1.0,3,19.0,2,2,1.0,3,1.0,1,1,0
139,3,72.0,4,2,250.0,4,1,1.0,0,2,4.0,0,19.0,0,1,4.0,0,1.0,0,1,1
140,0,4.0,3,9,250.0,4,1,1.0,2,2,1.0,3,75.0,0,1,1.0,0,1.0,1,1,1
141,1,72.0,0,9,18424.0,3,1,4.0,3,1,4.0,0,19.0,1,1,1.0,0,1.0,1,1,1
142,3,4.0,4,0,250.0,0,0,1.0,0,2,4.0,3,19.0,2,2,1.0,3,1.0,0,1,1
143,3,72.0,4,4,250.0,3,3,1.0,3,2,1.0,0,19.0,0,1,1.0,0,1.0,1,1,1
144,3,4.0,1,0,250.0,4,4,1.0,1,2,4.0,3,19.0,0,0,1.0,1,1.0,1,1,0
145,0,72.0,4,1,250.0,4,2,4.0,0,2,4.0,0,19.0,1,2,1.0,0,1.0,0,1,0
146,3,4.0,0,8,250.0,0,4,4.0,3,1,1.0,3,75.0,1,1,1.0,3,1.0,1,1,1
147,0,72.0,3,1,18424.0,4,0,1.0,3,1,1.0,0,19.0,0,2,4.0,0,1.0,0,0,1
148,0,4.0,4,2,250.0,0,0,1.0,2,1,4.0,3,75.0,2,2,1.0,3,1.0,0,0,1
149,3,72.0,4,8,18424.0,0,4,4.0,2,2,4.0,3,75.0,1,0,1.0,0,1.0,1,1,0
150,0,4.0,1,9,250.0,4,4,4.0,3,2,4.0,2,19.0,1,1,1.0,0,1.0,1,1,1
151,3,72.0,1,3,18424.0,2,2,1.0,3,2,1.0,3,75.0,0,1,1.0,1,1.0,1,1,1
152,0,4.0,4,2,250.0,0,3,1.0,0,2,4.0,0,19.0,2,2,1.0,1,1.0,1,1,1
153,2,72.0,4,4,250.0,2,4,4.0,0,2,4.0,0,19.0,2,0,1.0,0,1.0,1,1,0
154,3,4.0,4,3,18424.0,0,3,1.0,0,2,4.0,3,75.0,0,0,1.0,0,1.0,0,0,1
155,3,4.0,1,6,250.0,3,0,4.0,2,2,1.0,0,19.0,0,1,4.0,3,1.0,0,1,1
156,3,72.0,4,6,18424.0,2,4,1.0,0,2,1.0,0,19.0,0,2,1.0,0,1.0,0,1,0
157,0,72.0,3,0,18424.0,4,1,1.0,1,2,1.0,0,19.0,0,0,4.0,0,1.0,0,0,0
158,0,72.0,1,3,250.0,2,0,4.0,0,1,1.0,0,19.0,0,2,4.0,0,1.0,0,1,0
159,3,4.0,4,4,250.0,2,4,1.0,3,2,4.0,3,75.0,1,0,1.0,0,1.0,1,1,1
160,0,4.0,2,7,250.0,4,0,1.0,1,2,1.0,0,19.0,0,2,4.0,1,1.0,0,1,1
161,2,4.0,4,0,250.0,0,3,1.0,0,2,1.0,0,19.0,0,1,1.0,0,1.0,0,0,1
162,0,4.0,2,6,250.0,4,4,1.0,3,2,1.0,0,19.0,0,2,1.0,0,1.0,1,1,1
163,3,4.0,4,0,250.0,1,4,1.0,0,2,4.0,2,19.0,1,0,1.0,1,1.0,0,1,1
164,3,4.0,4,3,250.0,0,1,1.0,2,1,4.0,3,75.0,0,2,1.0,3,1.0,0,0,1
165,3,4.0,2,0,250.0,4,0,1.0,2,1,4.0,0,19.0,1,1,1.0,0,1.0,0,1,1
166,0,72.0,3,8,18424.0,0,4,4.0,3,2,1.0,1,75.0,0,0,1.0,0,1.0,1,0,0
167,0,4.0,3,8,250.0,0,1,4.0,2,2,1.0,0,19.0,1,0,1.0,0,1.0,1,1,1
168,2,4.0,4,7,250.0,4,2,4.0,0,2,4.0,0,19.0,2,2,1.0,0,1.0,0,1,1
169,3,4.0,1,3,250.0,4,3,4.0,0,2,4.0,3,19.0,1,2,1.0,3,1.0,0,0,0
170,3,4.0,4,9,18424.0,4,4,1.0,2,2,4.0,0,75.0,0,0,1.0,0,1.0,1,0,1
171,1,4.0,0,7,250.0,0,0,4.0,3,2,1.0,3,19.0,1,2,1.0,3,1.0,0,1,1
172,3,4.0,4,9,250.0,2,4,4.0,3,2,4.0,0,19.0,2,0,1.0,0,1.0,1,1,1
173,0,72.0,1,0,18424.0,0,0,1.0,1,1,1.0,3,75.0,0,0,1.0,3,1.0,0,0,0
174,0,72.0,3,1,250.0,0,0,1.0,1,2,1.0,0,19.0,1,2,1.0,0,1.0,0,1,0
175,0,4.0,3,2,250.0,2,3,4.0,2,2,1.0,3,19.0,1,0,1.0,0,1.0,0,1,0
176,3,4.0,2,8,18424.0,3,4,4.0,3,1,4.0,3,75.0,1,0,4.0,0,1.0,1,1,1
177,2,4.0,4,5,250.0,0,4,1.0,0,2,4.0,0,75.0,0,0,1.0,0,1.0,1,1,1
178,3,4.0,0,1,18424.0,3,4,4.0,2,2,4.0,1,19.0,0,0,1.0,3,1.0,0,1,1
179,3,72.0,1,1,18424.0,1,0,4.0,3,1,1.0,3,19.0,0,2,1.0,3,1.0,0,0,0
180,3,72.0,0,0,250.0,0,0,4.0,0,2,1.0,1,19.0,1,0,1.0,3,1.0,0,1,1
181,3,4.0,4,9,18424.0,3,4,1.0,3,2,4.0,3,75.0,1,0,1.0,0,1.0,1,1,1
182,0,72.0,1,1,250.0,2,0,4.0,1,2,1.0,0,19.0,1,1,4.0,0,1.0,0,1,0
183,3,72.0,4,1,250.0,4,1,1.0,2,2,4.0,0,19.0,1,2,4.0,0,1.0,0,0,1
184,0,4.0,4,1,250.0,0,0,1.0,0,2,4.0,3,75.0,2,0,1.0,0,1.0,0,1,1
185,3,4.0,3,9,250.0,0,4,4.0,3,2,1.0,0,75.0,2,0,1.0,0,1.0,1,1,1
186,3,4.0,2,6,250.0,2,0,1.0,3,2,1.0,2,19.0,1,2,4.0,3,1.0,0,1,1
187,3,4.0,4,2,18424.0,0,4,1.0,1,2,4.0,3,75.0,0,2,1.0,0,1.0,0,0,0
188,0,4.0,0,0,250.0,2,0,1.0,3,2,1.0,0,19.0,1,2,1.0,3,1.0,1,1,1
189,1,4.0,0,0,250.0,0,0,1.0,2,1,1.0,3,75.0,0,2,1.0,3,1.0,0,0,0
190,3,72.0,4,9,250.0,4,3,4.0,3,2,4.0,0,19.0,0,1,1.0,0,1.0,0,1,1
191,3,4.0,3,0,250.0,0,0,1.0,0,2,4.0,3,19.0,1,2,1.0,3,1.0,0,1,0
192,3,4.0,4,9,250.0,4,4,1.0,0,2,4.0,0,75.0,1,2,1.0,0,1.0,1,1,1
193,3,4.0,4,2,250.0,3,0,1.0,3,1,1.0,3,19.0,0,2,4.0,3,1.0,0,0,1
194,3,4.0,4,9,250.0,0,3,1.0,0,2,4.0,0,75.0,2,1,1.0,1,1.0,1,1,1
195,1,4.0,0,7,250.0,0,0,4.0,3,2,1.0,3,19.0,1,2,4.0,3,1.0,0,1,1
196,3,4.0,1,6,250.0,4,0,4.0,3,2,1.0,3,19.0,0,2,1.0,3,1.0,0,1,1
197,0,4.0,4,2,250.0,0,4,1.0,0,2,4.0,1,19.0,1,0,1.0,0,1.0,1,1,0
198,1,72.0,1,2,18424.0,2,0,4.0,3,1,1.0,3,19.0,0,0,4.0,3,1.0,0,0,0
199,0,72.0,2,1,18424.0,4,0,1.0,3,1,1.0,3,75.0,0,2,4.0,1,1.0,0,0,0
200,0,4.0,4,3,250.0,0,1,4.0,0,2,1.0,0,19.0,1,0,1.0,0,1.0,1,1,0
201,0,4.0,4,6,250.0,1,4,1.0,0,2,1.0,0,19.0,1,0,1.0,0,1.0,1,1,1
202,0,4.0,4,9,250.0,0,0,4.0,3,2,1.0,0,19.0,2,1,1.0,0,1.0,0,1,1
203,3,4.0,4,9,18424.0,4,4,1.0,3,2,1.0,0,75.0,1,0,1.0,0,1.0,1,0,1
204,0,72.0,1,9,18424.0,4,1,4.0,3,2,1.0,0,19.0,1,1,4.0,0,1.0,0,1,1
205,3,4.0,0,3,250.0,3,0,4.0,3,2,1.0,3,19.0,0,2,4.0,3,1.0,0,1,1
206,2,4.0,2,6,250.0,2,0,1.0,3,1,1.0,3,75.0,1,1,4.0,3,1.0,0,1,1
207,3,72.0,1,2,18424.0,1,0,1.0,3,1,1.0,0,19.0,0,1,1.0,1,1.0,0,1,1
208,3,4.0,0,0,250.0,3,0,4.0,3,1,1.0,3,19.0,2,2,4.0,3,1.0,0,0,0
209,3,4.0,0,0,250.0,0,0,1.0,0,2,1.0,3,19.0,0,1,1.0,3,1.0,0,1,1
210,0,4.0,1,0,250.0,0,0,1.0,0,2,1.0,3,19.0,0,2,1.0,3,1.0,0,1,0
211,1,4.0,3,9,250.0,0,4,1.0,3,2,1.0,1,75.0,1,0,1.0,0,1.0,1,1,1
212,0,4.0,4,0,250.0,0,0,1.0,0,2,4.0,0,19.0,0,1,1.0,0,1.0,0,0,0
213,3,72.0,4,6,250.0,0,4,4.0,1,2,4.0,0,19.0,2,0,1.0,0,1.0,1,1,1
214,0,4.0,2,9,18424.0,4,4,4.0,3,2,1.0,3,75.0,1,0,1.0,0,1.0,1,1,1
215,3,4.0,3,4,250.0,1,1,1.0,3,2,4.0,3,75.0,0,2,1.0,3,1.0,1,1,1
216,3,72.0,4,3,18424.0,0,0,1.0,3,2,1.0,0,19.0,1,2,1.0,0,1.0,0,1,1
217,0,4.0,1,2,250.0,0,0,1.0,0,2,1.0,0,19.0,1,1,1.0,3,1.0,0,1,1
218,0,4.0,4,4,250.0,0,0,1.0,2,2,4.0,0,19.0,0,0,4.0,0,1.0,0,0,1
219,0,4.0,4,9,250.0,4,4,1.0,3,2,3.984698176383972,0,75.0,1,0,1.0,0,1.0,1,1,1
220,3,4.0,4,8,250.0,0,4,1.0,1,2,4.0,0,19.0,1,1,1.0,0,1.0,0,1,1
221,0,4.0,4,7,250.0,2,4,1.0,3,2,1.0,3,75.0,1,0,1.0,0,1.0,1,1,0
222,3,72.0,4,9,18424.0,4,4,1.0,3,2,1.0,0,75.0,0,0,1.0,0,1.0,1,1,1
223,3,4.0,2,9,18424.0,2,4,1.0,3,1,4.0,3,75.0,0,1,1.0,2,1.0,1,1,1
224,3,4.0,0,9,250.0,0,0,4.0,1,2,4.0,2,75.0,2,2,1.0,3,1.0,0,1,1
225,0,72.0,3,8,250.0,4,3,4.0,1,2,4.0,0,19.0,2,0,1.0,0,1.0,1,1,1
226,0,4.0,0,2,18424.0,1,0,4.0,3,2,1.0,3,75.0,2,0,1.0,3,1.0,1,1,1
227,0,4.0,3,4,18424.0,0,0,1.0,3,2,1.0,1,75.0,1,0,1.0,0,1.0,1,1,0
228,0,4.0,1,0,250.0,0,0,1.0,3,2,1.0,3,19.0,1,1,1.0,0,1.0,1,1,1
229,2,4.0,1,9,250.0,1,3,4.0,3,2,1.0,0,19.0,2,0,1.0,0,1.0,1,0,1
230,3,72.0,0,0,250.0,4,0,4.0,1,2,1.0,0,19.0,0,2,4.0,3,1.0,0,1,1
231,0,4.0,4,9,250.0,4,4,4.0,0,2,4.0,0,19.0,1,0,1.0,0,1.0,1,1,1
232,0,4.0,3,9,250.0,0,0,4.0,3,2,1.0,0,19.0,1,0,1.0,0,1.0,0,1,1
233,0,72.0,2,0,250.0,3,0,4.0,2,2,1.0,0,19.0,2,0,1.0,1,1.0,0,0,0
234,0,4.0,0,9,250.0,0,0,4.0,3,2,1.0,0,19.0,1,2,4.0,3,1.0,0,1,1
235,3,4.0,2,0,250.0,0,0,4.0,0,2,4.0,1,19.0,1,2,1.0,3,1.0,0,1,1
